userId,game_id,owned
1,4929,5
1,1752,5
1,3210,5
1,1795,5
1,3466,5
1,3571,5
1,535,5
1,2850,5
1,4358,5
1,5026,5
1,3444,5
1,2005,5
1,3859,5
1,3001,5
1,1118,5
1,411,5
1,2926,5
1,963,5
1,3274,5
1,4953,5
1,4792,5
1,687,5
1,2434,5
1,3606,5
1,2535,5
1,3196,5
1,4591,5
1,101,5
1,3905,5
1,541,5
1,3482,5
1,2718,5
1,1713,5
1,686,5
1,4601,5
1,1638,5
1,4807,5
1,2402,5
1,3944,5
2,4792,5
3,532,5
3,3638,5
3,1333,5
3,4157,5
3,1357,5
3,984,5
3,4666,5
3,149,5
3,2243,5
3,4753,5
3,5084,5
3,2307,5
3,1912,5
3,2081,5
3,286,5
3,4108,5
3,2494,5
3,2104,5
3,736,5
3,1926,5
3,4610,5
3,4358,5
3,4443,5
3,1795,5
3,855,5
3,4120,5
3,4841,5
3,716,5
3,3210,5
3,3905,5
3,541,5
3,3482,5
3,3606,5
3,2762,5
3,4892,5
3,274,5
3,1358,5
3,2351,5
3,1189,5
3,3384,5
3,3242,5
3,1942,5
3,2010,5
4,1580,5
4,5052,5
4,1795,5
4,875,5
4,5138,5
4,2629,5
4,5014,5
4,3633,5
4,4231,5
4,5012,5
4,1926,5
4,1720,5
4,864,5
4,127,5
4,1794,5
4,1045,5
4,2244,5
4,1233,5
4,3073,5
4,1116,5
4,4544,5
4,143,5
4,4474,5
4,3608,5
4,1960,5
4,4417,5
4,3123,5
4,4661,5
4,4734,5
4,414,5
4,4126,5
4,2454,5
4,1710,5
4,1276,5
4,4629,5
4,2698,5
4,1965,5
4,153,5
4,1546,5
4,1912,5
4,1508,5
4,3459,5
4,830,5
4,1888,5
4,1009,5
4,4835,5
4,612,5
4,3210,5
4,775,5
4,3013,5
4,3756,5
4,373,5
4,4127,5
4,4058,5
4,1630,5
4,2734,5
4,10,5
4,4157,5
4,2124,5
4,253,5
4,1520,5
4,3630,5
4,3428,5
4,2902,5
4,947,5
4,3155,5
4,309,5
4,4066,5
4,3249,5
4,190,5
4,1635,5
4,1300,5
4,4343,5
4,849,5
4,2062,5
4,937,5
4,923,5
4,3685,5
4,380,5
4,2029,5
4,825,5
4,552,5
4,647,5
4,426,5
